YearsExperience,Education,JobRole,OrgSize,Location,CompTotal,CompFreq,Currency,LanguageHaveWorkedWith,Age,Gender
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Database administrator;Full-stack developer,500 to 999 employees,Viet Nam,15000000,Monthly,,C;C++;Java;JavaScript;Matlab;PHP;SQL;HTML;CSS;Bash/Shell,18 - 24 years old,Male
0-2 years,Some college/university study without earning a degree,Data or business analyst,20 to 99 employees,Viet Nam,22000000,Monthly,,Go;Java;JavaScript;Python;HTML;CSS,18 - 24 years old,Male
3-5 years,Some college/university study without earning a degree,Back-end developer;Student,10 to 19 employees,Viet Nam,17000000,Monthly,,Java;JavaScript;Matlab;PHP;Python;R;SQL;HTML;CSS;Bash/Shell,18 - 24 years old,Male
6-8 years,Associate degree,Back-end developer;Front-end developer;Full-stack developer,20 to 99 employees,Viet Nam,19000000,Monthly,,Java;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,25 - 34 years old,Male
0-2 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Front-end developer;Full-stack developer;Student,20 to 99 employees,Viet Nam,12000000,,,JavaScript;Python;TypeScript;HTML;CSS,18 - 24 years old,Male
3-5 years,Some college/university study without earning a degree,Engineering manager;Mobile developer;Product manager,10 to 19 employees,Viet Nam,8000000,Monthly,,C;C++;C#;Java;JavaScript;PHP;Python;SQL;HTML;CSS,18 - 24 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mobile developer,20 to 99 employees,Viet Nam,15000,,U.S. dollars ($),Java;Python;Kotlin,25 - 34 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;Product manager;System administrator,100 to 499 employees,Viet Nam,25000000,Monthly,,C#;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,25 - 34 years old,Male
3-5 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Embedded applications or devices developer;Full-stack developer;Mobile developer,10 to 19 employees,Viet Nam,17000000,Monthly,,C;C++;C#,25 - 34 years old,Male
0-2 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Student,20 to 99 employees,Viet Nam,12000000,Monthly,,C#;JavaScript;Ruby;SQL;HTML;CSS,18 - 24 years old,
12-14 years,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Back-end developer;Database administrator;Designer;Engineering manager,20 to 99 employees,Viet Nam,2000,Monthly,U.S. dollars ($),C#;Java;Python;SQL,25 - 34 years old,Female;Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Front-end developer,100 to 499 employees,Viet Nam,1200,Monthly,U.S. dollars ($),JavaScript;TypeScript;HTML;CSS,25 - 34 years old,Male
3-5 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Full-stack developer,"1,000 to 4,999 employees",Viet Nam,10000000,Monthly,,C#;JavaScript;HTML;CSS,25 - 34 years old,Male
3-5 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;DevOps specialist;Front-end developer;Full-stack developer,20 to 99 employees,Viet Nam,700,,,JavaScript;PHP;SQL;HTML;CSS,25 - 34 years old,Male
3-5 years,Some college/university study without earning a degree,Back-end developer;DevOps specialist;System administrator,20 to 99 employees,Viet Nam,70000000,Monthly,,Go;Java;Lua;Perl;Python;Bash/Shell,25 - 34 years old,Male
3-5 years,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Back-end developer;Database administrator;Front-end developer;Full-stack developer;System administrator,10 to 19 employees,Viet Nam,9000000,,,JavaScript;PHP;SQL;VB.NET;HTML;CSS;Bash/Shell,25 - 34 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mobile developer,"10,000 or more employees",Viet Nam,1500,Monthly,,Objective-C,,
3-5 years,Some college/university study without earning a degree,Back-end developer;Front-end developer,10 to 19 employees,Viet Nam,400,Monthly,U.S. dollars ($),JavaScript;HTML;CSS,18 - 24 years old,Male
12-14 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Engineering manager;Front-end developer;Full-stack developer;Mobile developer;Product manager,100 to 499 employees,Viet Nam,10000000,Monthly,,C#;JavaScript;SQL;HTML,25 - 34 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",DevOps specialist;Full-stack developer;Mobile developer,20 to 99 employees,Viet Nam,19000000,Monthly,,Java;JavaScript;Objective-C;PHP;Swift;TypeScript;HTML;CSS,25 - 34 years old,Male
21-23 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Engineering manager;Full-stack developer;Product manager,"5,000 to 9,999 employees",Viet Nam,210000000,Monthly,,Assembly;Go;Java;JavaScript;PHP;SQL;HTML;CSS,35 - 44 years old,Male
0-2 years,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Back-end developer;Educator or academic researcher,100 to 499 employees,Viet Nam,10000000,Monthly,,Java;HTML;CSS,,
3-5 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mobile developer,10 to 19 employees,Viet Nam,220,,U.S. dollars ($),,,
6-8 years,Associate degree,Back-end developer;Front-end developer;Full-stack developer,"1,000 to 4,999 employees",Viet Nam,1000,Monthly,U.S. dollars ($),Java;JavaScript;SQL;HTML,25 - 34 years old,Male
3-5 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Database administrator;Front-end developer,"10,000 or more employees",Viet Nam,500,Monthly,,C++;C#;JavaScript;SQL;VB.NET;HTML;CSS,,
12-14 years,Associate degree,Designer;Front-end developer;Full-stack developer,"10,000 or more employees",Viet Nam,40000000,Monthly,,Java;JavaScript;PHP;HTML;CSS;Bash/Shell,25 - 34 years old,Male
0-2 years,Some college/university study without earning a degree,Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer;Mobile developer;QA or test developer;Student,10 to 19 employees,Viet Nam,6000000,Monthly,,Java;JavaScript;Objective-C;PHP;SQL;HTML;CSS,18 - 24 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer,"1,000 to 4,999 employees",Viet Nam,9000000,Monthly,,Java;Python;R,25 - 34 years old,Male
0-2 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Full-stack developer,20 to 99 employees,Viet Nam,450,Monthly,U.S. dollars ($),Java;JavaScript;SQL;TypeScript;HTML;CSS,,
9-11 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Desktop or enterprise applications developer;Engineering manager;Product manager,20 to 99 employees,Viet Nam,100000000,Monthly,,C#,35 - 44 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer,"1,000 to 4,999 employees",Viet Nam,14600000,Monthly,,C;C++;Java;JavaScript;HTML;CSS,18 - 24 years old,Male
21-23 years,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Back-end developer;Student;System administrator,10 to 19 employees,Viet Nam,17000000,,,C;C++;Java;JavaScript;Bash/Shell,18 - 24 years old,Male
6-8 years,Some college/university study without earning a degree,Designer;Full-stack developer;Product manager,100 to 499 employees,Viet Nam,1800,,U.S. dollars ($),JavaScript,25 - 34 years old,Male
3-5 years,Some college/university study without earning a degree,Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer;Student,10 to 19 employees,Viet Nam,4,Monthly,U.S. dollars ($),C;C++;Java;JavaScript;SQL;TypeScript;HTML;CSS,18 - 24 years old,Male
0-2 years,I never completed any formal education,Back-end developer,100 to 499 employees,Viet Nam,5000000,Monthly,,,,
30 or more years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer,20 to 99 employees,Viet Nam,74000000,Monthly,,C#,45 - 54 years old,Male
0-2 years,Some college/university study without earning a degree,Back-end developer;Full-stack developer,20 to 99 employees,Viet Nam,500,Monthly,U.S. dollars ($),Java;JavaScript;PHP;SQL;HTML;CSS,18 - 24 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Data or business analyst;Mobile developer,"5,000 to 9,999 employees",Viet Nam,30000000,Monthly,,,,
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Front-end developer;Full-stack developer,20 to 99 employees,Viet Nam,650,Monthly,U.S. dollars ($),,,
3-5 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Desktop or enterprise applications developer,500 to 999 employees,Viet Nam,32000000,Monthly,,Java;SQL;Bash/Shell,25 - 34 years old,Male
3-5 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Front-end developer,10 to 19 employees,Viet Nam,10000000,Monthly,,C#;JavaScript;SQL;TypeScript;HTML;CSS,18 - 24 years old,Male
9-11 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)","C-suite executive (CEO, CTO, etc.);Educator or academic researcher;Front-end developer;Game or graphics developer;Mobile developer",,Viet Nam,20000000,,,C#;JavaScript;PHP;Python;HTML;CSS,25 - 34 years old,Male
12-14 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Data or business analyst;Database administrator;Desktop or enterprise applications developer;Engineering manager;Front-end developer;Full-stack developer;Mobile developer;System administrator,,Viet Nam,1500,Monthly,U.S. dollars ($),C#;JavaScript;Matlab;Objective-C;PHP;SQL;HTML;CSS;Bash/Shell,25 - 34 years old,Male
3-5 years,,Mobile developer,,Viet Nam,20000000,Monthly,,JavaScript;Swift,25 - 34 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Back-end developer;C-suite executive (CEO, CTO, etc.);Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer;System administrator",,Viet Nam,3200,Monthly,U.S. dollars ($),C#;JavaScript;R;SQL;TypeScript;HTML;CSS,18 - 24 years old,Male
6-8 years,I never completed any formal education,Full-stack developer,,Viet Nam,4000,Monthly,U.S. dollars ($),Go;JavaScript;TypeScript;HTML;CSS,25 - 34 years old,Male
3-5 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Data scientist or machine learning specialist,,Viet Nam,14000000,Monthly,,C#;Java;JavaScript;Python;R;HTML;CSS;Bash/Shell,18 - 24 years old,Male
9-11 years,"Other doctoral degree (Ph.D, Ed.D., etc.)",Designer;Game or graphics developer,,Viet Nam,0,Yearly,,Assembly;C;Objective-C,45 - 54 years old,Male
6-8 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Designer;Front-end developer;Full-stack developer,,Viet Nam,1600,Monthly,British pounds sterling (£),C#;Java;JavaScript;SQL;HTML;CSS,25 - 34 years old,Male
0-2 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Desktop or enterprise applications developer;Educator or academic researcher,,Viet Nam,12000000,,,C#;JavaScript,18 - 24 years old,Male
12-14 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,,Viet Nam,3000,Monthly,U.S. dollars ($),C;C++;C#;Java;JavaScript;Perl;PHP;SQL;HTML;CSS,35 - 44 years old,Male
3-5 years,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Embedded applications or devices developer;Student,,Viet Nam,00.00,Yearly,U.S. dollars ($),C;C#;Java;Matlab;Objective-C;HTML,18 - 24 years old,Male
3-5 years,Some college/university study without earning a degree,Front-end developer;Mobile developer;Student,,Viet Nam,1000000,Monthly,,Java;JavaScript;PHP;HTML;CSS;Bash/Shell,18 - 24 years old,Male
0-2 years,Some college/university study without earning a degree,Back-end developer;Designer;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer;System administrator,,Viet Nam,0,Yearly,,Clojure;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,35 - 44 years old,Male
0-2 years,Some college/university study without earning a degree,Student,,Viet Nam,0,Yearly,,C;C++;C#;Delphi/Object Pascal,Under 18 years old,Female
0-2 years,Some college/university study without earning a degree,Student,,Viet Nam,300,Monthly,U.S. dollars ($),,,
11,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Engineering manager;Senior executive/VP",10 to 19 employees,Viet Nam,85000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;PHP,35.0,Man
15,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end;Developer, full-stack;DevOps specialist",500 to 999 employees,Viet Nam,30000000.0,Monthly,Vietnamese dong,Java;JavaScript,37.0,Man
7,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Academic researcher;Data scientist or machine learning specialist;Developer, back-end;Developer, embedded applications or devices;Developer, full-stack;Developer, mobile;DevOps specialist;System administrator",20 to 99 employees,Viet Nam,28000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;C++;C#;JavaScript;Python;Swift,,Man
7,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, mobile",10 to 19 employees,Viet Nam,27846000.0,Monthly,Vietnamese dong,Dart;JavaScript;TypeScript,26.0,Man
9,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,28000000.0,Monthly,Vietnamese dong,Go;PHP;SQL,25.0,Man
3,Some college/university study without earning a degree,"Designer;Developer, front-end",100 to 499 employees,Viet Nam,12000000.0,Yearly,Vietnamese dong,C#;HTML/CSS;JavaScript;PHP,26.0,Man
3,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, embedded applications or devices",500 to 999 employees,Viet Nam,10000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;C;Python;VBA,24.0,Man
10,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;Engineer, data;Product manager;Scientist;System administrator",100 to 499 employees,Viet Nam,30000000.0,Monthly,Vietnamese dong,Assembly;C#;HTML/CSS;JavaScript;SQL;TypeScript;VBA,36.0,Man
5,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, front-end",100 to 499 employees,Viet Nam,14000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript,25.0,Man
5,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Developer, embedded applications or devices","10,000 or more employees",Viet Nam,100000000.0,Yearly,Vietnamese dong,Assembly;Go;HTML/CSS;Java;JavaScript;PHP;WebAssembly,26.0,Man
4,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end","1,000 to 4,999 employees",Viet Nam,6800000.0,Monthly,Vietnamese dong,C#;HTML/CSS;JavaScript;SQL;TypeScript,23.0,Man
12,Some college/university study without earning a degree,"Developer, mobile",100 to 499 employees,Viet Nam,4000.0,Monthly,United States dollar,Assembly;C++;C#;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;Scala;SQL;TypeScript;VBA,28.0,Man
6,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Academic researcher;Data or business analyst;Database administrator;Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;Developer, QA or test;DevOps specialist;Product manager;System administrator",20 to 99 employees,Viet Nam,450.0,Monthly,United States dollar,C;C++;C#;Dart;Java;JavaScript;TypeScript,25.0,Man
6,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist",100 to 499 employees,Viet Nam,1300000.0,Monthly,Vietnamese dong,PHP,25.0,Man
7,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Academic researcher;Database administrator;Developer, back-end;DevOps specialist;Educator;Student",20 to 99 employees,Viet Nam,550.0,Monthly,United States dollar,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,,Man
5,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end;Developer, mobile",100 to 499 employees,Viet Nam,15000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;JavaScript;PHP;Python;SQL,23.0,Man
9,Associate degree,"Developer, full-stack",20 to 99 employees,Viet Nam,15000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;JavaScript;SQL,27.0,Man
7,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Database administrator;Developer, back-end;DevOps specialist;Educator;Student",20 to 99 employees,Viet Nam,500.0,Monthly,United States dollar,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,,Man
10,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",100 to 499 employees,Viet Nam,60000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;C;Dart;Go;HTML/CSS;Java;JavaScript;PHP;SQL,32.0,Man
2,Associate degree,"Developer, front-end;Developer, mobile",2-9 employees,Viet Nam,20000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;PHP;SQL,,Man
19,Some college/university study without earning a degree,"Data or business analyst;Database administrator;Developer, back-end;DevOps specialist;Engineer, site reliability;System administrator",20 to 99 employees,Viet Nam,140000.0,Yearly,United States dollar,Go;HTML/CSS;JavaScript;Python;SQL,40.0,Man
5,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,15000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;PHP;TypeScript,26.0,Man
12,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;DevOps specialist;System administrator",20 to 99 employees,Viet Nam,16000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;Java;JavaScript;SQL;Swift,36.0,Man
12,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, front-end",20 to 99 employees,Viet Nam,27000000.0,Monthly,Vietnamese dong,C;C++;Java,33.0,Man
3,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist;Educator;Engineer, site reliability;Student",10 to 19 employees,Viet Nam,1000.0,Weekly,United States dollar,Assembly;Bash/Shell/PowerShell;C;C++;Dart;Elixir;Erlang;Go;HTML/CSS;JavaScript;Kotlin;Python;Ruby;Rust;Scala;SQL;TypeScript,23.0,Man
7,Some college/university study without earning a degree,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;DevOps specialist;System administrator",10 to 19 employees,Viet Nam,19000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,25.0,Man
5,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Data scientist or machine learning specialist;Designer;Developer, full-stack;Developer, mobile","1,000 to 4,999 employees",Viet Nam,15000000.0,Monthly,Vietnamese dong,C++;HTML/CSS;Java;JavaScript;Python;SQL,24.0,Man
